id,query,intent,difficulty,eval_focus,expected_docs,evidence_count,exact_hit@3,exact_hit@5,exact_mrr,exact_recall@3,exact_recall@5,fuzzy_hit@3,fuzzy_hit@5,fuzzy_mrr,fuzzy_recall@3,fuzzy_recall@5,best_match_rank,best_match_doc,best_match_score_containment,best_match_score_rouge_l,best_match_score_partial_ratio,matched_evidence_quote,retrieved_docs_top5,evidence_unit_total,evidence_unit_hit_count@3,evidence_unit_hit_count@5,evidence_unit_recall@3,evidence_unit_recall@5,evidence_group_any_hit@3,evidence_group_any_hit@5,evidence_group_full_hit@3,evidence_group_full_hit@5
eval_0011,怎么修改统一身份认证的密码？,账号与统一门户,simple,"retrieval,faithfulness,procedure",统一门户账号与安全.md,2,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,统一门户账号与安全.md,1.0,1.0,1.0,"第一种：登录""数字平台""，依次点击【右上角头像】—【个人中心】—【账号安全】—【更换密码】，进行密码修改。",统一门户账号与安全.md | 统一门户账号与安全.md | OA系统使用手册.pdf | 统一门户账号与安全.md | 统一门户账号与安全.md,2,2,2,1.0,1.0,True,True,True,True
eval_0012,统一身份认证系统支持哪几种登录方式？,账号与统一门户,medium,"retrieval,faithfulness",统一门户账号与安全.md,1,False,False,0.0,0.0,0.0,True,True,0.5,1.0,1.0,2,统一门户账号与安全.md,0.8684,1.0,0.5263,有四种登录方式：01 扫码登录（微信/企业微信APP）；02 验证码登录；03 账号密码登录；04 QQ登录,OA系统使用手册.pdf | 统一门户账号与安全.md | 统一门户账号与安全.md | 统一门户账号与安全.md | 统一门户账号与安全.md,1,1,1,1.0,1.0,True,True,True,True
eval_0013,收不到短信验证码怎么办？,账号与统一门户,medium,"retrieval,faithfulness,troubleshooting",统一门户账号与安全.md,1,True,True,0.5,1.0,1.0,True,True,1.0,1.0,1.0,1,统一门户账号与安全.md,0.9437,0.974,0.9437,维护手机号：电脑端：登录数字平台，依次点击【右上角头像】—【个人中心】—【账号安全】—【设置账号】—【手机号绑定】；手机端：打开【北京语言大学企业号】，进入【统一身份认证】应用，点击下方【帐号设置】—,统一门户账号与安全.md | 统一门户账号与安全.md | 统一门户账号与安全.md | vpn使用和故障排查.md | vpn使用和故障排查.md,1,1,1,1.0,1.0,True,True,True,True
eval_0014,登录OA系统用的是统一账号吗？,账号与统一门户,simple,"retrieval,faithfulness",OA系统使用手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,OA系统使用手册.pdf,1.0,1.0,1.0,通过统一身份认证平台统一登录，将统一身份认证账号和密码登录到工作台中,OA系统使用手册.pdf | 统一门户账号与安全.md | 企业内部移动办公.pdf | 统一门户账号与安全.md | 统一门户账号与安全.md,1,1,1,1.0,1.0,True,True,True,True
eval_0015,VPN客户端在哪里下载安装？支持哪些系统？,内网访问,simple,"retrieval,faithfulness,procedure",vpn使用和故障排查.md,1,False,False,0.0,0.2308,0.2308,False,False,0.0,0.3846,0.3846,1,vpn使用和故障排查.md,0.2117,0.1679,0.9262,"#### A. **Windows系统**

1) 基于X86/X64处理器的Windows 10和11系统

　a) 新版本 [ps-pulse-win-22.7r1.0](./software/p",vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md,13,5,5,0.3846,0.3846,True,True,False,False
eval_0016,VPN登录提示用户名密码错误，应该先检查什么？,内网访问,medium,"retrieval,faithfulness,troubleshooting",vpn使用和故障排查.md,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,vpn使用和故障排查.md,1.0,1.0,1.0,登录提示用户名/密码错：请检查是否开通了校园网账号或密码是否有误，多次认证失败后，系统会拒绝新的登录，请于30分钟后再试。,vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md,1,1,1,1.0,1.0,True,True,True,True
eval_0017,VPN登录成功了但内网系统还是打不开，怎么排查？,内网访问,hard,"retrieval,faithfulness,troubleshooting,procedure,multi_doc_retrieval",vpn使用和故障排查.md,2,False,False,0.0,0.0,0.375,False,False,0.1429,0.0,0.5,4,vpn使用和故障排查.md,1.0,1.0,0.8361,"故障1：无法访问知网、电子期刊或个别网站

1). 请确认VPN登录成功：访问https://its.pku.edu.cn/显示“您正通过VPN访问校内资源”或无需登录即可访问校内门户https://",vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md,8,0,4,0.0,0.5,False,True,False,False
eval_0018,在家办公怎么访问公司内网？,内网访问,medium,"retrieval,faithfulness,procedure,multi_doc_retrieval",vpn使用和故障排查.md,3,False,False,0.0,0.0,0.3333,False,False,0.125,0.0,0.3333,4,vpn使用和故障排查.md,1.0,1.0,1.0,VPN系统提供两种使用方式，全业务模式和北大内网模式。1)．全业务模式（全网）: 能以校园网IP访问互联网资源及北大所有内网资源，包括检索和下载学校电子期刊资源等。2)．北大内网模式（内网）: 专供校,企业内部移动办公.pdf | 企业内部移动办公.pdf | 企业内部移动办公.pdf | vpn使用和故障排查.md | 企业内部移动办公.pdf,3,0,1,0.0,0.3333,False,True,False,False
eval_0019,VPN连接失败，按照完整故障排查流程应该怎么做？,内网访问,hard,"retrieval,faithfulness,troubleshooting,procedure,multi_doc_retrieval",vpn使用和故障排查.md,3,False,False,0.0,0.3333,0.6,False,False,0.125,0.3333,0.8,1,vpn使用和故障排查.md,1.0,1.0,1.0,"提示：若咨询客服，请务必先按如下流程进行排查，并把排查过程、结果及账号发送至its@pku.edu.cn，以供分析定位具体原因。

1. 链路排查

故障主机分别连本地WI-FI和手机4/5G流量做个",vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md | vpn使用和故障排查.md,15,5,12,0.3333,0.8,True,True,False,False
eval_0020,OA系统怎么登录？,办公平台,medium,"retrieval,faithfulness,procedure",OA系统使用手册.pdf,1,False,False,0.0,0.0,0.0,True,True,1.0,1.0,1.0,1,OA系统使用手册.pdf,0.9623,1.0,0.9434,通过统一身份认证平台统一登录，将统一身份认证账号和密码登录到工作台中；登录到工作台找到高职协同办公系统点击就可以跳转到OA门户主页,OA系统使用手册.pdf | 企业内部移动办公.pdf | 企业内部移动办公.pdf | 企业内部移动办公.pdf | 企业内部移动办公.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0021,企业微信第一次怎么登录？,办公平台,simple,"retrieval,faithfulness,procedure",企业内部移动办公.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,企业内部移动办公.pdf,1.0,1.0,1.0,"首次登录企业微信请使用微信扫描下面二维码。扫码后出现如下图所示页面，点击""打开企业微信""按钮。此处用户名密码为登录网上办事大厅的工号和密码。",企业内部移动办公.pdf | 统一门户账号与安全.md | 统一门户账号与安全.md | 企业内部移动办公.pdf | 企业内部移动办公.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0022,怎么在OA系统里申请会议室？,办公平台,medium,"retrieval,faithfulness,procedure",OA系统使用手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,OA系统使用手册.pdf,1.0,1.0,1.0,申请操作入口：点击后跳转到申请信息进行填写；可以通过点击查看会议室使用情况查看到占用/空闲的会议室以及时段；申请好的会议可以在我的会议中查看具体审批情况,OA系统使用手册.pdf | 企业内部移动办公.pdf | OA系统使用手册.pdf | 企业内部移动办公.pdf | OA系统使用手册.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0023,钉钉上怎么提交请假申请？需要提供什么材料？,办公平台,medium,"retrieval,faithfulness,procedure",钉钉考勤.pdf,1,False,True,0.25,0.0,1.0,False,True,0.25,0.0,1.0,4,钉钉考勤.pdf,1.0,1.0,1.0,请假需提前钉钉申请对应类型假期，并按要求提供附件证明，请假最小单位0.5天。,钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf,1,0,1,0.0,1.0,False,True,False,True
eval_0024,OA里怎么申请用车？,办公平台,medium,"retrieval,faithfulness,procedure",OA系统使用手册.pdf,1,False,False,0.0,0.0,0.0,True,True,1.0,1.0,1.0,1,OA系统使用手册.pdf,0.9403,1.0,0.9104,入口在主页车辆-用车申请中；填写表单；请注意填写用车时间时与查看会议室占用情况一样查看车辆使用情况便可了解有无可用时段与可用车信息，以免耽误申请时间。,OA系统使用手册.pdf | 企业内部移动办公.pdf | 企业内部移动办公.pdf | OA系统使用手册.pdf | OA系统使用手册.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0025,钉钉上怎么提交转正申请？,办公平台,medium,"retrieval,faithfulness,procedure",钉钉考勤.pdf,1,False,False,0.0,0.0,0.0,True,True,1.0,1.0,1.0,1,钉钉考勤.pdf,0.8254,0.7162,0.8254,转正申请（转正员工本人发起，附word版述职报告）。钉钉工作台--审批--人事管理--转正申请；打开转正审批单，填写对应内容，附Word版《试用期述职报告-姓名》，选择对应审批人提交。,钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf | 钉钉考勤.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0026,OA系统的用印申请分为哪几种类型？审批流程有什么不同？,办公平台,hard,"retrieval,faithfulness,multi_doc_retrieval,condition",OA系统使用手册.pdf,2,False,False,0.0,0.5,0.5,True,True,0.5,1.0,1.0,1,OA系统使用手册.pdf,0.963,1.0,0.8704,"用印申请类别包含院办、党办和法人证件借用组成。当选择金额大于50万或者抄送院长或者用印印章包含""院长方章""时会走向院长审批。",OA系统使用手册.pdf | OA系统使用手册.pdf | OA系统使用手册.pdf | OA系统使用手册.pdf | OA系统使用手册.pdf,2,2,2,1.0,1.0,True,True,True,True
eval_0027,你能帮我查一下我这个月发了多少工资吗？,兜底与转人工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eval_0028,你能直接帮我重置统一账号的密码吗？,兜底与转人工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eval_0029,公司附近有什么好吃的餐厅推荐吗？,兜底与转人工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eval_0030,我按照VPN手册上的步骤做了还是连不上，你能远程帮我修好吗？,兜底与转人工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
